"pathway_id","pathway_name","n_genes","gene_names","gene_pvals","magma_pvalue"
"PWY-5041","<i>S</i>-adenosyl-L-methionine cycle II",6,"SORBI_3001G148900;SORBI_3003G140000;SORBI_3003G151600;SORBI_3005G112800;SORBI_3008G178800;SORBI_3009G033600","6.6087e-01;4.1804e-01;2.3436e-02;2.5264e-01;4.8747e-01;1.3580e-02",0.18246
"PWY-6613","tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate",4,"SORBI_3002G172600;SORBI_3004G018000;SORBI_3006G083100;SORBI_3009G045800","3.4865e-01;8.1093e-01;9.0319e-02;2.5325e-01",0.18888
"NAGLIPASYN-PWY","lipid IV<sub>A</sub> biosynthesis",5,"SORBI_3001G451100;SORBI_3002G131300;SORBI_3003G279900;SORBI_3003G297700;SORBI_3008G152500","4.7253e-02;1.8112e-01;4.6997e-01;9.0811e-01;4.5325e-01",0.2008
"PWY-7141","(3<i>S</i>)-linalool biosynthesis",7,"SORBI_3002G353300;SORBI_3004G018900;SORBI_3004G019000;SORBI_3004G019100;SORBI_3004G019300;SORBI_3004G019400;SORBI_3004G019550","3.4560e-01;6.3157e-01;6.4487e-01;7.0109e-01;4.1382e-01;4.2079e-01;3.7928e-01",0.20659
"RIBOSYN2-PWY","flavin biosynthesis I (bacteria and plants)",21,"SORBI_3001G052600;SORBI_3001G118700;SORBI_3001G227200;SORBI_3001G524500;SORBI_3001G531200;SORBI_3001G531400;SORBI_3002G136100;SORBI_3003G118200;SORBI_3003G301500;SORBI_3004G144400;SORBI_3004G156800;SORBI_3004G187900;SORBI_3005G123200;SORBI_3006G175100;SORBI_3006G244700;SORBI_3007G227000;SORBI_3008G118600;SORBI_3009G059300;SORBI_3009G094700;SORBI_3009G164300;SORBI_3010G039500","7.8684e-01;3.4459e-01;3.5868e-01;9.2387e-02;6.0435e-02;4.4854e-02;2.6878e-01;4.2967e-01;3.2210e-01;1.5179e-01;1.7246e-01;4.4894e-01;1.2028e-01;2.2125e-01;5.6707e-01;1.4253e-01;1.6181e-01;1.7279e-01;7.1183e-01;5.7227e-01;3.8260e-01",0.21131
"PWY-3461","L-tyrosine biosynthesis II",4,"SORBI_3003G306100;SORBI_3004G065500;SORBI_3007G141500;SORBI_3010G160400","7.5901e-01;1.8852e-01;5.3716e-01;9.3853e-01",0.21539
"LIPAS-PWY","triacylglycerol degradation",118,"SORBI_3001G003600;SORBI_3001G024200;SORBI_3001G041900;SORBI_3001G111700;SORBI_3001G117000;SORBI_3001G135600;SORBI_3001G182200;SORBI_3001G182300;SORBI_3001G182500;SORBI_3001G182600;SORBI_3001G228100;SORBI_3001G238800;SORBI_3001G261484;SORBI_3001G269200;SORBI_3001G275400;SORBI_3001G295700;SORBI_3001G365600;SORBI_3001G394000;SORBI_3001G484000;SORBI_3001G484100;SORBI_3002G033000;SORBI_3002G033100;SORBI_3002G113700;SORBI_3002G139100;SORBI_3002G140700;SORBI_3002G141100;SORBI_3002G156700;SORBI_3002G177200;SORBI_3002G192700;SORBI_3002G194000;SORBI_3002G280500;SORBI_3002G302900;SORBI_3002G372200;SORBI_3002G379800;SORBI_3002G409000;SORBI_3002G422200;SORBI_3003G028900;SORBI_3003G038000;SORBI_3003G110600;SORBI_3003G146900;SORBI_3003G162400;SORBI_3003G176000;SORBI_3003G205900;SORBI_3003G239200;SORBI_3003G274700;SORBI_3003G283400;SORBI_3003G295100;SORBI_3003G304200;SORBI_3003G341900;SORBI_3003G390800;SORBI_3003G432600;SORBI_3003G433000;SORBI_3004G001200;SORBI_3004G016600;SORBI_3004G071300;SORBI_3004G072400;SORBI_3004G072900;SORBI_3004G080600;SORBI_3004G130500;SORBI_3004G146600;SORBI_3004G215500;SORBI_3004G243500;SORBI_3004G248500;SORBI_3004G260400;SORBI_3004G266700;SORBI_3004G286700;SORBI_3004G286800;SORBI_3004G297600;SORBI_3004G310000;SORBI_3004G319300;SORBI_3004G344100;SORBI_3005G111400;SORBI_3005G144300;SORBI_3005G204900;SORBI_3006G037500;SORBI_3006G118800;SORBI_3006G128100;SORBI_3006G140801;SORBI_3006G178200;SORBI_3006G178300;SORBI_3006G187300;SORBI_3006G248100;SORBI_3007G014100;SORBI_3007G036900;SORBI_3007G162200;SORBI_3007G187000;SORBI_3007G194800;SORBI_3008G037500;SORBI_3008G077800;SORBI_3008G125200;SORBI_3008G133200;SORBI_3008G170100;SORBI_3009G048100;SORBI_3009G125300;SORBI_3009G135100;SORBI_3009G141300;SORBI_3009G168500;SORBI_3009G200100;SORBI_3010G001700;SORBI_3010G037600;SORBI_3010G038500;SORBI_3010G047800;SORBI_3010G081100;SORBI_3010G093300;SORBI_3010G105800;SORBI_3010G106500;SORBI_3010G168700;SORBI_3010G189000;SORBI_3010G193400;SORBI_3010G200000;SORBI_3010G200900;SORBI_3010G211900;SORBI_3010G218800;SORBI_3010G233700;SORBI_3010G270500;SORBI_3010G270700;SORBI_3010G270800;SORBI_3010G270900","8.4266e-01;4.2077e-01;6.4286e-03;9.1000e-01;9.1978e-02;3.9183e-02;4.2056e-01;5.7106e-01;3.2439e-01;4.1950e-02;2.9328e-01;3.1689e-01;2.0227e-01;4.7611e-02;2.7719e-01;3.9443e-02;8.8213e-01;2.4964e-01;2.1658e-01;2.2946e-01;3.8187e-01;3.3852e-01;4.4727e-02;5.1331e-01;7.0821e-01;7.1049e-01;4.8149e-01;5.9581e-01;1.7988e-01;3.3873e-01;7.7767e-01;6.7719e-01;1.4227e-02;3.6205e-01;6.4947e-01;8.0201e-01;9.6035e-01;8.1263e-01;8.8001e-01;3.1370e-03;8.1691e-01;6.6897e-01;8.5127e-01;8.3956e-03;5.3428e-01;3.5186e-01;1.1285e-01;5.6431e-01;3.8197e-03;8.2004e-01;5.9595e-01;6.9720e-01;5.5843e-01;9.1278e-01;8.7562e-01;5.6193e-01;3.4183e-01;1.1236e-01;2.7080e-01;1.3538e-01;5.8601e-01;6.4563e-01;3.5529e-01;4.3542e-02;2.6163e-01;6.9679e-01;5.5802e-01;4.6695e-01;8.2325e-01;5.2245e-02;8.2138e-01;4.1035e-01;5.9600e-01;6.1817e-01;2.3534e-02;1.4718e-01;3.2263e-01;8.1927e-01;5.2229e-01;4.3178e-01;8.0246e-01;1.6229e-01;2.1590e-02;5.9848e-01;5.2089e-02;1.1622e-01;7.7645e-01;9.4243e-01;5.5761e-01;2.6780e-01;1.8636e-01;4.8691e-01;3.2316e-01;7.9597e-01;7.0723e-01;6.9247e-01;3.4674e-02;2.7242e-03;7.4793e-02;1.1733e-01;1.3841e-01;9.1636e-01;2.3929e-01;9.2876e-01;8.2736e-01;5.9944e-01;3.4246e-01;2.1892e-01;6.1052e-01;3.4762e-01;7.8071e-01;6.6852e-01;6.2799e-01;6.1634e-01;5.7042e-01;9.6786e-01;7.2238e-01;8.2261e-01",0.21941
"PWY0-1021","L-alanine biosynthesis III",8,"SORBI_3001G486500;SORBI_3002G174900;SORBI_3003G284200;SORBI_3004G132600;SORBI_3005G014700;SORBI_3005G104200;SORBI_3008G066200;SORBI_3008G066401","5.8826e-01;7.1364e-02;7.0561e-01;1.7975e-01;6.3950e-01;4.3990e-01;4.3699e-02;6.3135e-01",0.22197
"PWY-6360","flavonol glucosylation I",23,"SORBI_3001G084300;SORBI_3001G084600;SORBI_3001G084700;SORBI_3002G085800;SORBI_3002G173500;SORBI_3002G173600;SORBI_3002G188900;SORBI_3002G311900;SORBI_3002G312100;SORBI_3004G087300;SORBI_3004G224400;SORBI_3005G192200;SORBI_3006G153100;SORBI_3006G242200;SORBI_3006G242900;SORBI_3006G251301;SORBI_3007G223900;SORBI_3009G024650;SORBI_3010G068300;SORBI_3010G113200;SORBI_3010G116900;SORBI_3010G117000;SORBI_3010G178100","1.6284e-01;1.8260e-01;2.2674e-01;4.4978e-02;1.4155e-01;2.8002e-01;4.6718e-01;5.8668e-01;6.5684e-01;2.3267e-01;2.8479e-01;9.3728e-01;1.8406e-02;6.7527e-02;2.6432e-02;6.2417e-03;1.1977e-01;9.5320e-01;3.2980e-01;4.0831e-01;3.3971e-01;3.4513e-01;4.6576e-02",0.22872
"PWY-6543","4-aminobenzoate biosynthesis",5,"SORBI_3003G003200;SORBI_3004G122800;SORBI_3008G001400;SORBI_3009G088800;SORBI_3010G250200","2.9547e-01;3.3658e-01;5.2853e-01;1.3876e-01;9.4354e-01",0.22892
"PWY-695","abscisic acid biosynthesis",9,"SORBI_3001G042000;SORBI_3001G155300;SORBI_3001G402200;SORBI_3002G037400;SORBI_3002G168700;SORBI_3002G168800;SORBI_3004G268500;SORBI_3005G129700;SORBI_3010G050300","7.0366e-03;7.2091e-01;3.1349e-01;7.0758e-01;5.9885e-01;3.2649e-01;4.9413e-03;8.3311e-01;7.7387e-02",0.23051
"PWY-5123","<i>trans, trans</i>-farnesyl diphosphate biosynthesis",7,"SORBI_3002G330500;SORBI_3002G353300;SORBI_3003G270500;SORBI_3004G327500;SORBI_3006G248000;SORBI_3009G137700;SORBI_3009G216800","2.2585e-02;3.4560e-01;4.4473e-02;6.0083e-01;1.2827e-01;2.9403e-01;1.9152e-06",0.23228
"PWY-63","UDP-&beta;-L-arabinose biosynthesis I (from UDP-&alpha;-D-xylose)",3,"SORBI_3001G400000;SORBI_3002G029800;SORBI_3006G217300","2.8218e-01;6.9522e-01;1.8708e-01",0.23563
"PWY-5886","4-hydroxyphenylpyruvate biosynthesis",2,"SORBI_3003G045600;SORBI_3005G200300","4.6008e-02;2.8438e-01",0.23736
"PWYQT-4427","sulfoquinovosyl diacylglycerol biosynthesis",4,"SORBI_3001G427300;SORBI_3002G000600;SORBI_3003G076900;SORBI_3009G123300","2.0845e-01;5.6996e-01;8.2590e-01;6.0796e-01",0.2375
"TYRFUMCAT-PWY","L-tyrosine degradation I",8,"SORBI_3002G104200;SORBI_3002G105600;SORBI_3003G045600;SORBI_3004G053700;SORBI_3004G080100;SORBI_3004G182800;SORBI_3005G200300;SORBI_3010G001600","1.1729e-02;2.1948e-01;4.6008e-02;9.7736e-03;5.0099e-01;1.3943e-01;2.8438e-01;7.5270e-02",0.24027
"PWY-6959","L-ascorbate degradation V",9,"SORBI_3001G410200;SORBI_3002G431100;SORBI_3004G175500;SORBI_3006G021100;SORBI_3006G084400;SORBI_3006G204000;SORBI_3007G177000;SORBI_3007G205600;SORBI_3008G057900","1.8517e-01;1.5225e-01;5.1854e-01;4.3473e-01;2.2272e-01;7.8040e-02;4.8747e-01;4.5342e-01;4.7280e-01",0.24215
"PWY-6773","1,3-&beta;-D-glucan biosynthesis",14,"SORBI_3001G521500;SORBI_3001G529600;SORBI_3001G542450;SORBI_3001G542500;SORBI_3002G200400;SORBI_3003G079750;SORBI_3003G179600;SORBI_3003G180100;SORBI_3003G252500;SORBI_3003G298900;SORBI_3004G107800;SORBI_3004G358400;SORBI_3010G064200;SORBI_3010G275800","4.0866e-01;8.3601e-01;4.9559e-01;4.6763e-01;6.4119e-01;8.6802e-01;8.5350e-02;7.7569e-01;4.9142e-01;8.2211e-01;2.4320e-01;8.3438e-02;3.1594e-02;8.7062e-02",0.24532
"PWY0A-6303","methyl indole-3-acetate interconversion",6,"SORBI_3002G367400;SORBI_3003G184900;SORBI_3005G014400;SORBI_3005G014500;SORBI_3009G116500;SORBI_3009G116766","1.5928e-01;1.1441e-01;2.8493e-01;3.2114e-01;7.9709e-01;4.9248e-01",0.24558
"PWY-7343","UDP-&alpha;-D-glucose biosynthesis I",8,"SORBI_3001G116500;SORBI_3002G125800;SORBI_3002G155900;SORBI_3002G291200;SORBI_3003G222500;SORBI_3004G013500;SORBI_3009G168600;SORBI_3010G251200","7.6218e-01;1.5473e-01;8.1070e-01;2.8499e-01;7.3985e-01;4.0044e-01;1.0120e-02;1.4848e-02",0.24589
"PWY-282","cuticular wax biosynthesis",11,"SORBI_3001G222700;SORBI_3001G510300;SORBI_3002G207900;SORBI_3003G040300;SORBI_3004G064000;SORBI_3004G218100;SORBI_3004G342000;SORBI_3006G144500;SORBI_3008G076200;SORBI_3008G076250;SORBI_3010G212600","2.8945e-01;2.0604e-01;4.9826e-01;4.0257e-01;2.2469e-01;6.5044e-01;2.2315e-03;3.4955e-01;7.7727e-01;7.7398e-01;4.3563e-01",0.25472
"PWY-5957","L-nicotianamine biosynthesis",2,"SORBI_3001G151400;SORBI_3001G395900","7.9885e-01;9.3846e-02",0.25537
"PWY-6466","pyridoxal 5'-phosphate biosynthesis II",2,"SORBI_3002G005600;SORBI_3004G028500","2.2890e-01;4.7882e-01",0.25719
"GLYSYN2-PWY","glycine biosynthesis",9,"SORBI_3001G097100;SORBI_3002G006600;SORBI_3003G373600;SORBI_3005G113300;SORBI_3006G147450;SORBI_3006G147600;SORBI_3006G147700;SORBI_3007G213700;SORBI_3008G144800","4.1485e-01;6.5857e-01;9.2707e-02;3.4948e-01;2.3178e-01;4.1480e-01;4.0305e-01;1.9916e-01;1.9795e-01",0.26167
"PWY-699","brassinosteroid biosynthesis I",7,"SORBI_3001G172400;SORBI_3001G445900;SORBI_3003G030600;SORBI_3004G196200;SORBI_3005G030400;SORBI_3006G114600;SORBI_3009G074300","1.7025e-01;8.7012e-01;4.1925e-01;5.3752e-01;3.8872e-01;5.7917e-01;3.9021e-03",0.26251
"PWY-5138","unsaturated, even numbered fatty acid &beta;-oxidation",12,"SORBI_3002G096300;SORBI_3002G284200;SORBI_3002G284400;SORBI_3003G024900;SORBI_3003G025000;SORBI_3003G158300;SORBI_3004G124200;SORBI_3004G297400;SORBI_3006G016500;SORBI_3009G111400;SORBI_3009G207100;SORBI_3010G081900","2.7435e-01;6.1325e-01;5.3614e-01;9.4535e-01;9.4368e-01;5.1021e-01;1.5455e-01;6.7656e-01;6.3286e-01;1.6806e-02;1.8464e-03;5.5886e-01",0.26706
"PWY-6745","phytochelatins biosynthesis",4,"SORBI_3003G024200;SORBI_3003G024300;SORBI_3003G070800;SORBI_3006G104300","4.6112e-01;3.8741e-01;5.1718e-01;4.4717e-01",0.2685
"PWY-3261","UDP-&beta;-L-rhamnose biosynthesis",4,"SORBI_3001G416600;SORBI_3001G418000;SORBI_3004G282700;SORBI_3009G089200","2.8342e-01;8.3490e-01;3.8047e-01;4.0082e-01",0.27075
"PWY-5829","geraniol and geranial biosynthesis",8,"SORBI_3006G211400;SORBI_3006G221850;SORBI_3008G109800;SORBI_3010G071800;SORBI_3010G071900;SORBI_3010G072000;SORBI_3010G072100;SORBI_3010G072200","5.9520e-01;5.8061e-01;5.6466e-01;3.4056e-01;2.8481e-02;4.2548e-02;4.6446e-02;7.9278e-01",0.27121
"PWY-3841","folate transformations II",13,"SORBI_3001G040100;SORBI_3001G097100;SORBI_3001G181300;SORBI_3002G172600;SORBI_3002G220200;SORBI_3002G353000;SORBI_3003G373600;SORBI_3004G018000;SORBI_3004G055700;SORBI_3005G113300;SORBI_3005G115500;SORBI_3008G144800;SORBI_3009G045800","3.7054e-01;4.1485e-01;5.4159e-01;3.4865e-01;6.8491e-01;2.8313e-01;9.2707e-02;8.1093e-01;4.1649e-01;3.4948e-01;8.0140e-01;1.9795e-01;2.5325e-01",0.2734
"PWY-8011","L-serine biosynthesis II",9,"SORBI_3002G032900;SORBI_3004G001300;SORBI_3006G004600;SORBI_3006G004700;SORBI_3006G004900;SORBI_3006G005200;SORBI_3006G005300;SORBI_3006G014000;SORBI_3007G213700","4.7252e-01;5.3493e-01;3.5672e-01;1.5528e-02;7.2037e-02;3.7341e-01;5.8846e-01;6.7530e-01;1.9916e-01",0.27441
"PWY-7206","pyrimidine deoxyribonucleotides dephosphorylation",16,"SORBI_3001G142000;SORBI_3001G230200;SORBI_3002G008500;SORBI_3002G303700;SORBI_3003G030700;SORBI_3003G326100;SORBI_3004G146200;SORBI_3004G202900;SORBI_3006G036700;SORBI_3006G038800;SORBI_3006G147200;SORBI_3007G190200;SORBI_3007G194100;SORBI_3008G140100;SORBI_3008G140300;SORBI_3010G148866","2.5580e-01;3.9177e-01;2.1430e-01;7.8966e-01;8.3569e-01;4.4296e-01;2.9448e-01;5.2954e-01;3.9527e-01;3.7551e-03;5.5272e-01;1.3612e-01;8.1506e-01;1.9130e-01;3.3681e-01;3.4332e-01",0.27524
"PWY1F-FLAVSYN","flavonoid biosynthesis",52,"SORBI_3001G035600;SORBI_3001G166300;SORBI_3001G166500;SORBI_3001G187000;SORBI_3001G215000;SORBI_3001G314300;SORBI_3001G465600;SORBI_3001G500800;SORBI_3001G518800;SORBI_3001G526900;SORBI_3002G009600;SORBI_3002G009700;SORBI_3002G137800;SORBI_3003G021700;SORBI_3004G062500;SORBI_3004G109000;SORBI_3004G272700;SORBI_3004G318200;SORBI_3005G097600;SORBI_3005G102100;SORBI_3005G107800;SORBI_3005G135400;SORBI_3005G135500;SORBI_3005G135700;SORBI_3005G136200;SORBI_3005G136300;SORBI_3005G136450;SORBI_3005G136600;SORBI_3005G136800;SORBI_3005G137000;SORBI_3005G137100;SORBI_3005G137200;SORBI_3005G137300;SORBI_3006G118400;SORBI_3006G190000;SORBI_3006G190100;SORBI_3006G236900;SORBI_3006G237300;SORBI_3006G253900;SORBI_3006G254000;SORBI_3006G257400;SORBI_3006G257500;SORBI_3007G058900;SORBI_3007G089900;SORBI_3007G145600;SORBI_3007G167400;SORBI_3007G216201;SORBI_3008G030100;SORBI_3009G028200;SORBI_3010G060166;SORBI_3010G076700;SORBI_3010G214900","1.9725e-01;1.6703e-02;3.0980e-01;6.0571e-01;8.2307e-01;3.1394e-01;7.4805e-01;1.0609e-03;1.0567e-01;3.3958e-01;4.7189e-01;3.5019e-01;2.4755e-01;5.5493e-01;6.0584e-01;5.3289e-01;3.8108e-01;5.0544e-01;6.8872e-01;4.0145e-01;6.6156e-01;5.5863e-01;8.4919e-01;9.2854e-01;9.2091e-01;5.6285e-01;5.3842e-01;4.2890e-01;5.1462e-01;9.1909e-01;8.8787e-01;4.4487e-01;4.5240e-01;3.8175e-01;4.9592e-01;5.2036e-01;3.5410e-01;1.9173e-01;4.2857e-01;4.5425e-01;6.8718e-01;5.5723e-01;9.3648e-01;8.3036e-03;6.3622e-01;1.9363e-02;7.1823e-03;2.1528e-01;9.0857e-02;4.0922e-01;1.7617e-01;5.0362e-01",0.28124
"PWY-7560","methylerythritol phosphate pathway II",14,"SORBI_3001G102400;SORBI_3001G102500;SORBI_3002G064500;SORBI_3002G064700;SORBI_3002G330500;SORBI_3003G103300;SORBI_3003G327200;SORBI_3003G381900;SORBI_3004G207400;SORBI_3004G281900;SORBI_3004G327500;SORBI_3009G135500;SORBI_3009G137700;SORBI_3010G032900","8.2493e-01;7.9628e-01;2.3888e-01;2.9663e-01;2.2585e-02;7.0058e-02;6.3977e-01;5.2335e-01;7.2671e-01;3.0759e-01;6.0083e-01;2.4162e-01;2.9403e-01;7.4430e-01",0.28158
"PWY-6441","spermine and spermidine degradation III",8,"SORBI_3001G316700;SORBI_3003G274600;SORBI_3004G231200;SORBI_3006G177200;SORBI_3006G220200;SORBI_3006G261500;SORBI_3006G261600;SORBI_3007G036700","2.9294e-01;5.4104e-01;5.7635e-01;3.5449e-01;6.1619e-02;7.6286e-02;9.9720e-02;1.2884e-02",0.28178
"PWY-6754","<i>S</i>-methyl-5'-thioadenosine degradation I",6,"SORBI_3003G007800;SORBI_3003G007900;SORBI_3006G259600;SORBI_3006G259700;SORBI_3007G193200;SORBI_3010G008400","5.9691e-01;5.7380e-01;6.9505e-01;6.0477e-01;2.9622e-01;4.4272e-02",0.28421
"PWY-6233","jasmonoyl-amino acid conjugates biosynthesis II",5,"SORBI_3003G015000;SORBI_3003G015100;SORBI_3003G224100;SORBI_3005G108300;SORBI_3009G249900","7.4794e-01;7.4406e-01;8.9651e-01;2.6291e-01;3.9526e-08",0.28452
"PWY-7458","violdelphin biosynthesis",7,"SORBI_3001G280200;SORBI_3002G121100;SORBI_3002G121300;SORBI_3002G175500;SORBI_3005G105850;SORBI_3006G095900;SORBI_3008G163200","9.1084e-01;8.7396e-02;6.5154e-02;5.1543e-02;9.1267e-01;2.8727e-01;8.2286e-01",0.28615
"PWY-7464","cyanidin 3,7-diglucoside polyacylation biosynthesis",7,"SORBI_3001G280200;SORBI_3002G121100;SORBI_3002G121300;SORBI_3002G175500;SORBI_3005G105850;SORBI_3006G095900;SORBI_3008G163200","9.1084e-01;8.7396e-02;6.5154e-02;5.1543e-02;9.1267e-01;2.8727e-01;8.2286e-01",0.28615
"PWY-6219","indole-3-acetate inactivation VIII",8,"SORBI_3001G331200;SORBI_3002G361500;SORBI_3002G412500;SORBI_3003G306500;SORBI_3003G319900;SORBI_3005G134200;SORBI_3008G015100;SORBI_3009G187700","4.3922e-01;5.3734e-01;2.6154e-01;5.3318e-02;1.0111e-01;5.3950e-01;3.0836e-01;2.0419e-02",0.29214
"PWY-5486","pyruvate fermentation to ethanol II",15,"SORBI_3001G097600;SORBI_3001G263900;SORBI_3001G264000;SORBI_3001G405500;SORBI_3001G475800;SORBI_3001G475900;SORBI_3002G379100;SORBI_3002G379200;SORBI_3002G429000;SORBI_3003G061300;SORBI_3004G226500;SORBI_3004G343200;SORBI_3005G103300;SORBI_3005G103500;SORBI_3009G169000","1.4925e-01;8.3420e-02;1.2653e-01;4.2833e-01;6.5706e-01;6.6087e-01;3.6903e-09;2.3443e-09;3.5451e-01;8.4946e-01;9.9840e-02;9.1042e-02;4.3804e-01;5.8883e-01;5.8218e-01",0.29496
"PWY-7477","momilactone A biosynthesis",4,"SORBI_3001G338900;SORBI_3002G090900;SORBI_3005G217500;SORBI_3006G010200","3.2395e-01;3.1262e-02;7.0082e-01;8.2086e-03",0.29835
"PWY-5080","very long chain fatty acid biosynthesis I",65,"SORBI_3001G093000;SORBI_3001G124500;SORBI_3001G221900;SORBI_3001G247700;SORBI_3001G264500;SORBI_3001G307300;SORBI_3001G307400;SORBI_3001G307600;SORBI_3001G354700;SORBI_3001G370000;SORBI_3001G438100;SORBI_3001G453200;SORBI_3001G482300;SORBI_3001G495500;SORBI_3001G510200;SORBI_3001G532501;SORBI_3002G096300;SORBI_3002G137300;SORBI_3002G179700;SORBI_3002G268300;SORBI_3002G268500;SORBI_3002G284200;SORBI_3002G284400;SORBI_3003G070600;SORBI_3003G071100;SORBI_3003G071300;SORBI_3003G071400;SORBI_3003G071600;SORBI_3003G178500;SORBI_3003G178700;SORBI_3004G086800;SORBI_3004G203900;SORBI_3004G249400;SORBI_3004G341300;SORBI_3005G063000;SORBI_3005G168700;SORBI_3005G193600;SORBI_3006G016500;SORBI_3006G020500;SORBI_3006G020600;SORBI_3006G125600;SORBI_3006G125800;SORBI_3006G166900;SORBI_3006G211000;SORBI_3007G076100;SORBI_3007G127600;SORBI_3008G188400;SORBI_3009G164400;SORBI_3009G236100;SORBI_3009G241000;SORBI_3010G018600;SORBI_3010G081900;SORBI_3010G107200;SORBI_3010G107400;SORBI_3010G108001;SORBI_3010G108100;SORBI_3010G108200;SORBI_3010G108301;SORBI_3010G108600;SORBI_3010G124300;SORBI_3010G124500;SORBI_3010G124600;SORBI_3010G124900;SORBI_3010G181500;SORBI_3010G273200","4.6527e-04;6.4315e-01;9.5987e-02;4.7019e-01;1.5248e-01;2.2770e-01;6.9377e-02;4.7070e-01;8.1739e-01;2.2502e-01;2.0954e-03;7.6518e-01;3.6836e-01;4.6095e-01;7.3792e-01;3.3598e-01;2.7435e-01;4.0771e-01;1.7197e-01;4.0716e-01;5.1461e-02;6.1325e-01;5.3614e-01;5.9811e-01;8.4423e-01;8.4265e-01;8.3010e-01;7.0593e-01;2.7364e-01;3.3764e-01;1.7664e-01;4.4264e-02;8.9411e-02;2.3460e-01;2.7203e-02;1.4059e-01;7.9250e-01;6.3286e-01;3.5872e-01;3.1246e-01;4.5425e-01;5.2520e-01;8.7115e-01;3.9428e-01;6.1901e-01;2.2411e-01;8.3039e-01;5.5364e-01;8.7509e-08;1.3361e-08;4.8920e-01;5.5886e-01;1.9057e-01;9.1254e-01;8.1324e-01;7.8879e-01;8.1673e-01;4.9307e-02;4.7441e-01;6.6721e-01;6.2872e-01;8.5516e-01;8.8989e-01;3.2191e-01;2.3337e-01",0.29899
"PWY-7436","vitamin E biosynthesis (tocotrienols)",9,"SORBI_3003G320000;SORBI_3004G125800;SORBI_3004G269800;SORBI_3005G190800;SORBI_3006G183500;SORBI_3008G022000;SORBI_3008G171000;SORBI_3008G171300;SORBI_3010G207900","5.3931e-02;1.9483e-01;1.2802e-01;9.9290e-01;3.3689e-01;4.3170e-01;1.8942e-01;1.8309e-01;5.2347e-01",0.30071
"ASPSYNII-PWY","cyanide detoxification I",5,"SORBI_3004G225000;SORBI_3004G225100;SORBI_3004G225200;SORBI_3006G016900;SORBI_3006G153700","5.5890e-01;6.2672e-01;4.4464e-01;2.3868e-01;3.7737e-01",0.30252
"ARGSYNBSUB-PWY","L-arginine biosynthesis II (acetyl cycle)",15,"SORBI_3001G166600;SORBI_3001G325700;SORBI_3001G397000;SORBI_3001G416700;SORBI_3002G356200;SORBI_3003G193700;SORBI_3004G217000;SORBI_3004G265900;SORBI_3004G268100;SORBI_3004G295400;SORBI_3006G170200;SORBI_3007G104300;SORBI_3008G083400;SORBI_3009G029700;SORBI_3009G158800","3.9836e-01;2.8590e-01;3.4809e-01;2.2239e-01;3.7866e-01;4.3081e-02;9.1519e-01;5.4553e-01;7.6394e-02;4.9611e-01;9.1259e-01;7.9050e-01;4.2029e-01;7.0344e-01;1.2935e-01",0.30331
"ARGSYN-PWY","L-arginine biosynthesis I (via L-ornithine)",7,"SORBI_3001G397000;SORBI_3003G193700;SORBI_3004G265900;SORBI_3004G268100;SORBI_3007G104300;SORBI_3008G083400;SORBI_3009G158800","3.4809e-01;4.3081e-02;5.4553e-01;7.6394e-02;7.9050e-01;4.2029e-01;1.2935e-01",0.3037
"NONMEVIPP-PWY","methylerythritol phosphate pathway I",13,"SORBI_3001G102400;SORBI_3001G102500;SORBI_3002G064500;SORBI_3002G064700;SORBI_3002G330500;SORBI_3003G103300;SORBI_3003G327200;SORBI_3003G381900;SORBI_3004G281900;SORBI_3004G327500;SORBI_3009G135500;SORBI_3009G137700;SORBI_3010G032900","8.2493e-01;7.9628e-01;2.3888e-01;2.9663e-01;2.2585e-02;7.0058e-02;6.3977e-01;5.2335e-01;3.0759e-01;6.0083e-01;2.4162e-01;2.9403e-01;7.4430e-01",0.30525
"PWY-5434","(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis I",5,"SORBI_3004G018900;SORBI_3004G019100;SORBI_3004G019300;SORBI_3004G019400;SORBI_3004G019550","6.3157e-01;7.0109e-01;4.1382e-01;4.2079e-01;3.7928e-01",0.30763
"PWY-7489","oryzalexin A, B, and C biosynthesis",2,"SORBI_3006G041700;SORBI_3006G065300","1.1300e-01;2.5405e-04",0.30811
"PWY-5139","pelargonidin conjugates biosynthesis",3,"SORBI_3005G032000;SORBI_3006G097800;SORBI_3010G034800","4.4791e-01;1.0649e-01;6.3061e-01",0.31239
"PWY-5968","cinnamate esters biosynthesis",7,"SORBI_3001G093100;SORBI_3001G459700;SORBI_3002G366500;SORBI_3003G232900;SORBI_3003G233000;SORBI_3003G233100;SORBI_3009G224100","8.1187e-04;7.3584e-01;2.2354e-01;2.9622e-01;4.1590e-01;5.6061e-01;2.0003e-08",0.31538
"GLUTORN-PWY","L-ornithine biosynthesis I",9,"SORBI_3001G166600;SORBI_3001G325700;SORBI_3001G416700;SORBI_3002G356200;SORBI_3004G217000;SORBI_3004G275600;SORBI_3004G295400;SORBI_3006G170200;SORBI_3009G029700","3.9836e-01;2.8590e-01;2.2239e-01;3.7866e-01;9.1519e-01;7.4028e-02;4.9611e-01;9.1259e-01;7.0344e-01",0.3167
